From,To,Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
NORTHWEST BX COMMUNITY AND CLERGY COALITION,NYC ENVIRONMENTAL JUSTICE ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,4649,4630,,,,1,,,
WILDLANDS CONSERVANCY,PA GAME COMMISSION,,,,,,,,,,,,,,,,,,,,,,,30173,31004,,,,2,,,
PARTNERSHIPS FOR PARKS,MINETTA BLOCK ASSN,,,,,,,,,NYC,,,,,,,,,,,,,,105139,4878,,,,1,,,
NEW CANAAN LAND CONSERVATION TRUST,NEW CANAAN COMMUNITY FOUNDATION,,,,,,,,,region,,,,,,,,,,,,,,60970466,66098244,,,,1,,,
PARTNERSHIPS FOR PARKS,SWEATY BOYZ,,,,,,,,,NYC,,,,,,,,,,,,,,20906,4878,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,CITIZENS,,,,,,,,,NYC,,,,,,,,,,,,,,2848,1457,,,,1,,,
FOREST PARK TRUST,PS BK 420- FRANKLIN K LANE HS,,,,,,,,,NYC,,,,,,,,,,,,,,7905,3393,,,,1,,,
PARTNERSHIPS FOR PARKS,400 W BLOCK ASSN,,,,,,,,,NYC,,,,,,,,,,,,,,20007,4878,,,,1,,,
SUNSET PARK CSA,ST MICHAELS CHURCH,,,,,,,,,NYC,,,,,,,,,,,,,,107111,107244,,,,1,,,
JEWISH COMMUNITY CENTER OF SI,NYS,,,,,,,,,NYC,,,,,,,,,,,,,,10003,101819,,,,1,,,
PARTNERSHIPS FOR PARKS,STUYVESANT PARK NEIGHBORHOOD ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,132899445,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,COOPS,,,,,,,,,NYC,,,,,,,,,,,,,,5518,4878,,,,1,,,
SWIM STRONG FOUNDATION,RIDGEWOOD SAVINGS BANK,,,,,,,,,NYC,,,,,,,,,,,,,,20811,107278,,,,1,,,
WESTCHESTER LAND TRUST,POUND RIDGE LAND CONSERVANCY INC,,,,,,,,,,,,,,,,,,,,,,,510173458,5838,,,,2,,,
VOLUNTEERS FOR SPRINGFIELD PARK,CITY PARKS FOUNDATION,,,,,,,,,NYC,,,,,,,,,,,,,,7765,102039,,,,1,,,
RIVERVIEW NEIGHBORHOOD ASSOC,RIVERVIEW ART DISTRICT,,,,,,,,,region,,,,,,,,,,,,,,20819,223531910,,,,1,,,
PARTNERSHIPS FOR PARKS,CD SKATESHOP OF STATEN ISLAND,,,,,,,,,NYC,,,,,,,,,,,,,,103012,4878,,,,1,,,
VITO MARCANTONIO COMMUNITY PEACE GARDEN,HORTICULTURAL SOCIETY OF NY,,,,,,,,,NYC,,,,,,,,,,,,,,4638,107824,,,,1,,,
PARTNERSHIPS FOR PARKS,KBK9 FRIENDS OF BELLEVUE SOUTH PARK,,,,,,,,,NYC,,,,,,,,,,,,,,104700,4878,,,,1,,,
GOWANUS CANAL CONSERVANCY,COLUMBIA,,,,,,,,,NYC,,,,,,,,,,,,,,2931,100831,,,,1,,,
LES SKILLS AND DRILLS,SADONTE FOUNDATION,,,,,,,,,NYC,,,,,,,,,,,,,,20837,104832,,,,1,,,
596 ACRES,COMMUNITY DEVELOPMENT PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,20209,100086,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF RONALD EDMONDS PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,20340,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,FRESH CREEK NATURE ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,100725,4878,,,,1,,,
EPA- NYNJ HARBOR ESTUARY PROGRAM,NYS DEC,,,,,,,,,NYC,,,,,,,,,,,,,,4561,1375,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,EMPIRE KAYAKS,,,,,,,,,NYC,,,,,,,,,,,,,,103695,1457,,,,1,,,
596 ACRES,CIVIC ASSOCIATIONS,,,,,,,,,NYC,,,,,,,,,,,,,,20192,100086,,,,1,,,
BETHANY COMMUNITY GARDEN,JEWISH FAMILY SERVICES FOOD PANTRY,,,,,,,,,region,,,,,,,,,,,,,,20448,811743662,,,,1,,,
TNY,NY4P,,,,,,,,,NYC,,,,,,,,,,,,,,1360,101956,,,,1,,,
FRED SAMUEL RESIDENT ASSOC,BAG IT NYC,,,,,,,,,NYC,,,,,,,,,,,,,,20064,103908,,,,1,,,
LA CASITA VERDE,EL PUENTE,,,,,,,,,NYC,,,,,,,,,,,,,,3258,101065,,,,1,,,
200 HICKS ST BLOCK,GRACE CHURCH BK HEIGHTS,,,,,,,,,NYC,,,,,,,,,,,,,,20373,102175,,,,1,,,
WEST 132ND ST BLOCK,PARTNERSHIPS FOR PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4878,1566,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,PS BK 744- CONEY ISLAND PREP CHARTER SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,20755,100500,,,,1,,,
FRIENDS OF LIBERTY STATE PARK,NYNJ BAYKEEPER,,,,,,,,,region,,,,,,,,,,,,,,1374,1201,,,,1,,,
SUTPHIN BLVD BID,CAMBRIA HEIGHTS LDC,,,,,,,,,NYC,,,,,,,,,,,,,,20141,5484,,,,1,,,
HAMPTON STERLING VIRGINIA PLACE AND KINGSTON AVE BLOCK,BK CB8,,,,,,,,,NYC,,,,,,,,,,,,,,2659,104236,,,,1,,,
LAGUARDIA CORNER GARDENS,LOWER MANHATTAN CULTURAL COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,101119,1301,,,,1,,,
GREEN PARK GARDENERS NY,BK CB8,,,,,,,,,NYC,,,,,,,,,,,,,,2659,104177,,,,1,,,
PROSPECT HEIGHTS STREET TREE TASK FORCE OF BK,BK BRAINERY,,,,,,,,,NYC,,,,,,,,,,,,,,102851,101565,,,,1,,,
NY LEAGUE OF CONSERVATION VOTERS,REGIONAL PLAN ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,1442,4550,,,,1,,,
PARTNERSHIPS FOR PARKS,INWOOD OWNERS COALITION,,,,,,,,,NYC,,,,,,,,,,,,,,104550,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,SAVE OUR SEXY,,,,,,,,,NYC,,,,,,,,,,,,,,20842,4878,,,,1,,,
GOWANUS CANAL CONSERVANCY,NYBG,,,,,,,,,NYC,,,,,,,,,,,,,,1372,100831,,,,1,,,
PARTNERSHIPS FOR PARKS,RODALE PLEASANT PARK COMMUNITY GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,101662,4878,,,,1,,,
BATTERY CONSERVANCY,BILLION OYSTER PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,100250,1038,,,,1,,,
PARTNERSHIPS FOR PARKS,HARLEM RIVER PARK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,20391,4878,,,,1,,,
SWIM STRONG FOUNDATION,GRAYBEARDS,,,,,,,,,NYC,,,,,,,,,,,,,,1233,107278,,,,1,,,
NATIONAL LIGHTHOUSE MUSEUM,VISIT SI,,,,,,,,,NYC,,,,,,,,,,,,,,21003,101240,,,,1,,,
POMONOK RESIDENT GREEN COMMITTEE,MATERIALS FOR THE ARTS,,,,,,,,,NYC,,,,,,,,,,,,,,8855,101363,,,,1,,,
PROPHECY GARDENS,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,101563,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,WXY ARCHITECTURE,,,,,,,,,NYC,,,,,,,,,,,,,,102116,1457,,,,1,,,
PS BK 15- STEWARDSHIP COMMITTEE,TRUST FOR PUBLIC LAND,,,,,,,,,NYC,,,,,,,,,,,,,,1541,101431,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,LOWER MANHATTAN CULTURAL COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,101119,1313,,,,1,,,
WATERFRONT ALLIANCE,BRING TO LIGHT – NUIT BLANCHE,,,,,,,,,NYC,,,,,,,,,,,,,,102783,2037,,,,1,,,
CARNEGIE HILL CSA,STONELEDGE FARM,,,,,,,,,NYC,,,,,,,,,,,,,,20890,2646,,,,1,,,
NATURE CONSERVANCY- NYC,COLUMBIA,,,,,,,,,NYC,,,,,,,,,,,,,,2931,1527,,,,1,,,
PARTNERSHIPS FOR PARKS,BK RESCUE MISSION URBAN HARVEST,,,,,,,,,NYC,,,,,,,,,,,,,,1076,4878,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,SCHOLARS ACADEMY,,,,,,,,,NYC,,,,,,,,,,,,,,7050,1457,,,,1,,,
ACCESS INSTITUTE,US VETERANS ADMINISTRATION,,,,,,,,,NYC,,,,,,,,,,,,,,20981,102294,,,,1,,,
NATURE CONSERVANCY- NYC,PARTNERSHIPS FOR PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4878,1527,,,,1,,,
NEW AMERICAN DEMOCRATIC CLUB- NEW AMERICAN YOUTH FORUM,STATE SENATORS,,,,,,,,,NYC,,,,,,,,,,,,,,8087,2327,,,,1,,,
FRIENDS OF ST MARKS CHILDRENS PARK,MILLION TREES NYC,,,,,,,,,NYC,,,,,,,,,,,,,,101195,100766,,,,1,,,
NATURALLY OCCURRING CULTURAL DISTRICTS NY,HPD,,,,,,,,,NYC,,,,,,,,,,,,,,7386,101313,,,,1,,,
NYC PARKS,ALLERGIC TO SALAD,,,,,,,,,NYC,,,,,,,,,,,,,,100063,4655,,,,1,,,
596 ACRES,BK ROT,,,,,,,,,NYC,,,,,,,,,,,,,,100256,100086,,,,1,,,
WEST 80S NEIGHBORHOOD ASSOC,RIVERSIDE PARK CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,101643,102069,,,,1,,,
PARTNERSHIPS FOR PARKS,1560 GRAND CONCOURSE TENANTS ASSOCIATION/ FRIENDS OF MT. EDEN MALLS AND CLAREMONT PARK,,,,,,,,,NYC,,,,,,,,,,,,,,102163,4878,,,,1,,,
NY PRESBYTERIAN- CHALK,GROW NYC,,,,,,,,,NYC,,,,,,,,,,,,,,100882,103131,,,,1,,,
GOWANUS CANAL CONSERVANCY,AMERICAN SOCIETY OF LANDSCAPE ARCHITECTS- NY,,,,,,,,,NYC,,,,,,,,,,,,,,102518,100831,,,,1,,,
WALTER MILLER III MEMORIAL GARDEN/CASA FRELA,NY4P,,,,,,,,,,,,,,,,,,,,,,,1360,31013,,,,2,,,
SOCRATES SCULPTURE PARK,BIG REUSE,,,,,,,,,NYC,,,,,,,,,,,,,,7946,1486,,,,1,,,
EMPIRE DRAGON BOAT TEAM,NRDC,,,,,,,,,NYC,,,,,,,,,,,,,,2040,103694,,,,1,,,
PARTNERSHIPS FOR PARKS,NO KIDS LEFT BEHIND,,,,,,,,,NYC,,,,,,,,,,,,,,20589,4878,,,,1,,,
THREE LAKES COUNCIL,NYS FEDERATION OF LAKE ASSOC,,,,,,,,,region,,,,,,,,,,,,,,20686,132873769,,,,1,,,
AYRES-KNUTH FARM FOUNDATION,NJ DEP,,,,,,,,,region,,,,,,,,,,,,,,2047,223602451,,,,1,,,
PARTNERSHIPS FOR PARKS,VINEGAR HILL,,,,,,,,,NYC,,,,,,,,,,,,,,102033,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF LUTHER GULICK PARK,,,,,,,,,NYC,,,,,,,,,,,,,,20332,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,EL PUENTE,,,,,,,,,NYC,,,,,,,,,,,,,,3258,4878,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,CAREY MCCRACKEN TRUCE GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,102985,1313,,,,1,,,
ASTORIA PARK ALLIANCE,GREEN SHORES NYC,,,,,,,,,NYC,,,,,,,,,,,,,,100860,100190,,,,1,,,
PARTNERSHIPS FOR PARKS,BLACK MEN WHO CARE,,,,,,,,,NYC,,,,,,,,,,,,,,20102,4878,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,NATIONAL PARKS OF NY HARBOR CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,101242,1457,,,,1,,,
GOING COASTAL,CORNELL COOPERATIVE EXTENSION,,,,,,,,,NYC,,,,,,,,,,,,,,3021,2020,,,,1,,,
NY4P,THE POINT,,,,,,,,,NYC,,,,,,,,,,,,,,5551,1360,,,,1,,,
RECYCLEDAY MORNING,VOLUNTEERS FOR ISHAM PARK,,,,,,,,,NYC,,,,,,,,,,,,,,107829,101607,,,,1,,,
596 ACRES,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,100086,,,,1,,,
POMONOK RESIDENT GREEN COMMITTEE,PS 201 Q,,,,,,,,,NYC,,,,,,,,,,,,,,20749,101363,,,,1,,,
ELIZABETH STREET GARDEN,JIVAMUKTI YOGA NYC,,,,,,,,,NYC,,,,,,,,,,,,,,20450,100750,,,,1,,,
GREEN PARK GARDENERS NY,SUTTON PLACE PARKS CONSEVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,101853,104177,,,,1,,,
THE LACKAWAXEN RIVER CONSERVANCY,PENNFUTURE,,,,,,,,,,,,,,,,,,,,,,,31081,31011,,,,2,,,
LOWER EAST SIDE ECOLOGY CENTER,JACOB A RIIS NEIGHBORHOOD SETTLEMENT,,,,,,,,,NYC,,,,,,,,,,,,,,3954,1313,,,,1,,,
WATERFRONT ALLIANCE,CHESAPEAKE PADDLERS ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,20171,2037,,,,1,,,
MAKE THE ROAD NY,PS BK 549- BSSJ,,,,,,,,,NYC,,,,,,,,,,,,,,7984,101137,,,,1,,,
LONG ISLAND FARM BUREAU,NY FARM BUREAU,,,,,,,,,region,,,,,,,,,,,,,,116079249,463436790,,,,1,,,
FRIENDS OF THOMAS GREENE PARK,BROOKLYN BOULDERS,,,,,,,,,,,,,,,,,,,,,,,31060,1190,,,,2,,,
BAYSIDE ANGLERS GROUP,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,1043,,,,1,,,
FRIENDS OF BROWER PARK,NYC OFFICE OF SENATE- JESSE HAMILTON,,,,,,,,,NYC,,,,,,,,,,,,,,20666,100741,,,,1,,,
PARTNERSHIPS FOR PARKS,"PS 9R, NAPLES ST ELEMENTARY SCHOOL",,,,,,,,,NYC,,,,,,,,,,,,,,105248,4878,,,,1,,,
LOWER EAST SIDE PRESERVATION INITIATIVE,EAST VILLAGE COMMUNITY COALITION,,,,,,,,,NYC,,,,,,,,,,,,,,20258,104909,,,,1,,,
GOWANUS CANAL CONSERVANCY,URBAN ARBORISTS,,,,,,,,,NYC,,,,,,,,,,,,,,20973,100831,,,,1,,,
IS K278 MARINE PARK JHS,NYC DEP,,,,,,,,,NYC,,,,,,,,,,,,,,4642,1323,,,,1,,,
WATERFRONT ALLIANCE,BAYONNE DRYDOCK AND REPAIR CORP,,,,,,,,,NYC,,,,,,,,,,,,,,20072,2037,,,,1,,,
EMPIRE DRAGON BOAT TEAM,RIVERKEEPER,,,,,,,,,NYC,,,,,,,,,,,,,,1450,103694,,,,1,,,
PARTNERSHIPS FOR PARKS,KROWN LEIGHTS PHAMILY AND PHRIENDS,,,,,,,,,NYC,,,,,,,,,,,,,,104758,4878,,,,1,,,
HAMILTON COOPS,DAFFODIL PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,107772,104233,,,,1,,,
PARTNERSHIPS FOR PARKS,PS M 84,,,,,,,,,NYC,,,,,,,,,,,,,,20762,4878,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,SHERMAN CREEK COMPOST PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,106937,1313,,,,1,,,
KISSENA PARK CIVIC ASSOC,QUEENS CIVIC CONGRESS,,,,,,,,,NYC,,,,,,,,,,,,,,101583,1297,,,,1,,,
PIONEER WORKS,RETI CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,20807,101530,,,,1,,,
SWIM STRONG FOUNDATION,USA SWIMMING,,,,,,,,,NYC,,,,,,,,,,,,,,20982,107278,,,,1,,,
WATERFRONT ALLIANCE,AEC ENGINEERING AND DESIGN,,,,,,,,,NYC,,,,,,,,,,,,,,102318,2037,,,,1,,,
FRIENDS OF ST MARKS CHILDRENS PARK,NYC OFFICE OF BORO PRES- BK,,,,,,,,,NYC,,,,,,,,,,,,,,2632,100766,,,,1,,,
PARTNERSHIPS FOR PARKS,MASTER COMPOSTERS,,,,,,,,,NYC,,,,,,,,,,,,,,105060,4878,,,,1,,,
GREEN CITY FORCE,NYC DSNY,,,,,,,,,NYC,,,,,,,,,,,,,,7220,100855,,,,1,,,
WATERFRONT ALLIANCE,CENTER FOR ACTIVE DESIGN,,,,,,,,,NYC,,,,,,,,,,,,,,100400,2037,,,,1,,,
GARDEN KITCHEN LAB,NYCBEEKEEPING.ORG,,,,,,,,,NYC,,,,,,,,,,,,,,105501,5386,,,,1,,,
RISEBORO COMMUNITY PARTNERSHIP- BUSHWICK COOKS,NY4P,,,,,,,,,NYC,,,,,,,,,,,,,,1360,20815,,,,1,,,
JACQUES MARCHAIS MUSEUM OF TIBETAN ART,BOY SCOUTS OF AMERICA,,,,,,,,,NYC,,,,,,,,,,,,,,2526,104603,,,,1,,,
AMER CHESTNUT FDN,NYC PARKS,,,,,,,,,region,,,,,,,,,,,,,,4655,102390,,,,1,,,
LOWER MANHATTAN CULTURAL COUNCIL,ILAND,,,,,,,,,NYC,,,,,,,,,,,,,,100984,101119,,,,1,,,
"BK MULTI-SERVICE COMMUNITY CENTER, CORP.",ENY UNITED CONCERNED CITIZENS,,,,,,,,,,,,,,,,,,,,,,,8017,31024,,,,2,,,
CORNELL COOPERATIVE EXTENSION- ULSTER COUNTY,ONTEORA CENTRAL SCHOOL DISTRICT,,,,,,,,,region,,,,,,,,,,,,,,20716,146036893,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,TREES NY,,,,,,,,,NYC,,,,,,,,,,,,,,1536,1313,,,,1,,,
PARTNERSHIPS FOR PARKS,14 SCULPTORS,,,,,,,,,NYC,,,,,,,,,,,,,,20005,4878,,,,1,,,
VARIED RESOURCES,IOBY,,,,,,,,,NYC,,,,,,,,,,,,,,104483,107795,,,,1,,,
PARTNERSHIPS FOR PARKS,LOVEOURPOOL,,,,,,,,,NYC,,,,,,,,,,,,,,20491,4878,,,,1,,,
FLUSHING MEADOWS-CORONA PARK CONSERVANCY,CIVIC ASSOCIATIONS,,,,,,,,,NYC,,,,,,,,,,,,,,GENERAL,1179,,,,1,,,
PARTNERSHIPS FOR PARKS,FLUSHING MEADOWS CORONA PARK CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,1179,4878,,,,1,,,
"BK MULTI-SERVICE COMMUNITY CENTER, CORP.",TRUE VOICE,,,,,,,,,,,,,,,,,,,,,,,31046,31024,,,,2,,,
PARTNERSHIPS FOR PARKS,SUTTON PLACE PARKS CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,101853,4878,,,,1,,,
DOWNTOWN BOATHOUSE,NYS DEC,,,,,,,,,NYC,,,,,,,,,,,,,,4561,3130,,,,1,,,
NATIONAL LIGHTHOUSE MUSEUM,DESTINATION ST. GEORGE,,,,,,,,,NYC,,,,,,,,,,,,,,20232,101240,,,,1,,,
GOTHAM WHALE,RIVERHEAD FOUNDATION,,,,,,,,,NYC,,,,,,,,,,,,,,2058,100827,,,,1,,,
TROUT UNLIMITED,NYS DEC,,,,,,,,,NYC,,,,,,,,,,,,,,4561,5620,,,,1,,,
GOWANUS BY DESIGN,5 AVE COMMITTEE,,,,,,,,,NYC,,,,,,,,,,,,,,3343,104128,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF ABANDONED CEMETERIES,,,,,,,,,NYC,,,,,,,,,,,,,,104349,4878,,,,1,,,
NATURE CONSERVANCY- NYC,BILLION OYSTER PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,100250,1527,,,,1,,,
FRIENDS OF BROWER PARK,NYC OFFICE OF BORO PRES- BK,,,,,,,,,NYC,,,,,,,,,,,,,,2632,100741,,,,1,,,
PROSPECT CEMETERY ASSOCIATION OF JAMAICA VILLAGE,GREATER JAMAICA DC,,,,,,,,,NYC,,,,,,,,,,,,,,3640,141867457,,,,1,,,
FEDERATED GARDEN CLUBS OF NYS- DISTRICT 1,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,30537604,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF STARR PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,3512,4878,,,,1,,,
CORNELL COOPERATIVE EXTENSION- ULSTER COUNTY,TOWN OF SHANDAKEN,,,,,,,,,region,,,,,,,,,,,,,,20945,146036893,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF WINGATE PARK,,,,,,,,,NYC,,,,,,,,,,,,,,103995,4878,,,,1,,,
EAST OF HUDSON WATERSHED CORP,TOWN OF BEDFORD,,,,,,,,,region,,,,,,,,,,,,,,20924,453809317,,,,1,,,
LONG ISLAND CITY PARTNERSHIP,JETBLUE AIRWAYS,,,,,,,,,NYC,,,,,,,,,,,,,,20447,101113,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF RAINEY PARK,,,,,,,,,NYC,,,,,,,,,,,,,,7967,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF ROSEMARY'S PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,100761,4878,,,,1,,,
GOWANUS CANAL CONSERVANCY,GOWANUS CANAL COMMUNITY ADVISORY GROUP,,,,,,,,,NYC,,,,,,,,,,,,,,20366,100831,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF SHERMAN CREEK CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,100763,4878,,,,1,,,
TROUT UNLIMITED,NYC DOE,,,,,,,,,NYC,,,,,,,,,,,,,,4645,5620,,,,1,,,
WATERFRONT ALLIANCE,NATIONAL AUDUBON SOCIETY,,,,,,,,,NYC,,,,,,,,,,,,,,2358,2037,,,,1,,,
WATERFRONT ALLIANCE,ASSOC FOR A BETTER NY,,,,,,,,,NYC,,,,,,,,,,,,,,2308,2037,,,,1,,,
GOWANUS CANAL CONSERVANCY,HUNTER COLLEGE HS,,,,,,,,,NYC,,,,,,,,,,,,,,20419,100831,,,,1,,,
SWALE,MARTIN AND OTTAWAY,,,,,,,,,NYC,,,,,,,,,,,,,,20514,107273,,,,1,,,
PARTNERSHIPS FOR PARKS,STEWARDS OF HENRY HUDSON PARK,,,,,,,,,NYC,,,,,,,,,,,,,,101832,4878,,,,1,,,
OASIS COMMUNITY GARDEN,CLINTON COMMUNITY GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1100,1386,,,,1,,,
RIVERS RUN COMMUNITY GARDEN,CERUPOST,,,,,,,,,,,,,,,,,,,,,,,31049,101639,,,,2,,,
BK APPLE GARDEN GROUP,PS BK 189,,,,,,,,,NYC,,,,,,,,,,,,,,105992,100318,,,,1,,,
FRIENDS OF THE HIGH LINE,NYC EDC,,,,,,,,,NYC,,,,,,,,,,,,,,4530,1208,,,,1,,,
TNY,COLUMBUS AMSTERDAM BID,,,,,,,,,NYC,,,,,,,,,,,,,,1106,101956,,,,1,,,
SUTPHIN BLVD BID,GREATER JAMAICA DC,,,,,,,,,NYC,,,,,,,,,,,,,,3640,5484,,,,1,,,
FRIENDS OF DOWNTOWN PARKS NYC/ GREEN BELOW 14,FRIENDS OF FATHER FAGAN PARK,,,,,,,,,NYC,,,,,,,,,,,,,,102179,461974668,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF S OXFORD PARK,,,,,,,,,NYC,,,,,,,,,,,,,,3505,4878,,,,1,,,
GOWANUS CANAL CONSERVANCY,BK BIRD CLUB,,,,,,,,,NYC,,,,,,,,,,,,,,100323,100831,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,LOWER EAST SIDE ECOLOGY CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,1313,1457,,,,1,,,
BROOKLYN QUEENS LAND TRUST,6TH AND B GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1008,1075,,,,1,,,
ISLA,LA COLMENA,,,,,,,,,NYC,,,,,,,,,,,,,,3381,104766,,,,1,,,
PARTNERSHIPS FOR PARKS,JERRY KIDZ,,,,,,,,,NYC,,,,,,,,,,,,,,20444,4878,,,,1,,,
Q COUNTY BIRD CLUB,NATIONAL AUDUBON SOCIETY,,,,,,,,,NYC,,,,,,,,,,,,,,2358,5068,,,,1,,,
MUSEUM AT ELDRIDGE STREET,LOWER EAST SIDE JEWISH CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,20492,101226,,,,1,,,
EPA- NYNJ HARBOR ESTUARY PROGRAM,RIVER PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,1448,1375,,,,1,,,
RAMAPOUGH CONSERVANCY,OFFICE OF NJ ASSEMBLY- ROBERT AUTH,,,,,,,,,region,,,,,,,,,,,,,,20705,454068649,,,,1,,,
GREEN PARK GARDENERS NY,NY PUBLIC LIBRARY,,,,,,,,,NYC,,,,,,,,,,,,,,7024,104177,,,,1,,,
THE POINT,ROCKING THE BOAT,,,,,,,,,NYC,,,,,,,,,,,,,,1458,5551,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF FT TOTTEN PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,1192,4878,,,,1,,,
M KAYAK AND SUP,HUDSON RIVER PARK TRUST,,,,,,,,,NYC,,,,,,,,,,,,,,1273,105013,,,,1,,,
WILDLANDS CONSERVANCY,NATURAL LANDS,,,,,,,,,,,,,,,,,,,,,,,31087,31004,,,,2,,,
PARTNERSHIPS FOR PARKS,DYCKMAN FARMHOUSE MUSEUM,,,,,,,,,NYC,,,,,,,,,,,,,,103571,4878,,,,1,,,
SWALE,EXPERIMENTAL FARM NETWORK,,,,,,,,,NYC,,,,,,,,,,,,,,20272,107273,,,,1,,,
PARTNERSHIPS FOR PARKS,MCCARREN PARK DOG RUN ASSN,,,,,,,,,NYC,,,,,,,,,,,,,,20520,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF 12 PARK,,,,,,,,,NYC,,,,,,,,,,,,,,103921,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF COLUMBUS PARK,,,,,,,,,NYC,,,,,,,,,,,,,,103264,4878,,,,1,,,
BROTHERHOOD SISTER SOL,UPROSE,,,,,,,,,NYC,,,,,,,,,,,,,,2073,5511,,,,1,,,
SAINT HELEN ROMAN CATHOLIC CHURCH,NPS,,,,,,,,,,,,,,,,,,,,,,,4455,31017,,,,2,,,
DIRECTIONS FOR OUR YOUTH,CASITA MARIA,,,,,,,,,region,,,,,,,,,,,,,,100387,112249900,,,,1,,,
COASTAL RESEARCH AND EDUCATION SOCIETY OF LONG ISLAND,GOTHAM WHALE,,,,,,,,,NYC,,,,,,,,,,,,,,100827,2012,,,,1,,,
FRIENDS OF DOWNTOWN PARKS NYC/ GREEN BELOW 14,NPS,,,,,,,,,NYC,,,,,,,,,,,,,,4455,461974668,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,YMCA,,,,,,,,,NYC,,,,,,,,,,,,,,5909,100500,,,,1,,,
