Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
FRIENDS OF ST NICHOLAS PARK,,,,,,,,,,,,,,,,,,,,,3510,,,Civic,,,,,1,1
CASTLE ST/MONROE ST,,,,,,,,,,,,,,,,,,,,,20150,,,Civic,,,,,1,1
CARLOS LEGACY,,,,,,,,,,,,,,,,,,,,,20147,,,Civic,,,,,1,1
HUNTER COLLEGE - NEW YORK CITY FOOD POLICY CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
TIBET FUND,,,,,,,,,,,,,,,,,,,,,107529,,,Civic,,,,,1,1
TROUP GROUP/ BEERS STREET,,,,,,,,,,,,,,,,,,,,,20957,,,Civic,,,,,1,1
QUEENSBOROUGH COMM COLLEGE,,,,,,,,,,,,,,,,,,,,,101593,,,Civic,,,,,1,1
DUMBO IMPROVEMENT DISTRICT,,,,"DUMBO Brooklyn's public plazas: The Archway Under the Manhattan Bridge (Water Street btwn Anchorage Place and Adams St), Pearl Street Triangle (between Pearl Street, Water Street and Anchorage Place) & Old Fulton Plaza (Old Fulton on the east side btwn F",Community improvement and capacity building,Yes,"We bring the neighborhood of DUMBO, Brooklyn public art, free WiFi, public events, sanitation services, retail services and neighborhood advocacy. 

We are a 501(c)3 non-profit organization founded in 2006 to enhance the neighborhood and we work to ampli",,Brooklyn,,DUMBO Improvement District,718-237-8700,NY,"20 Jay Street, Suite 510",@dumbobid,1,501(c)(3) (or has applied),http://dumbo.is,11201,1-19%,100567,,,Civic,"Public Right of Way (Sidewalk, street ends, traffic island, public plaza)",MANAGE,1,2006,0,0
ROCKAWAY BAY COASTAL ASSOC,,,,"National gateway parks, Beach 69 th and Bayfield avenue within the 11691,2,3,4 
Community gardens ,Rockaway Beach, Parks Dept",Environment,Yes,,,Arverne,,Rockaway Bay Coastal Association,347-463-1557,NY,6942 Bayfield Avenue,,1,501(c)(3) (or has applied),,11692,80-100%,106763,,,Civic,Waterfront / Beach / Shoreline,TRANSFORM,1,2013,0,0
RECYCLE-A-BICYCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
BIKE NY,,,,,,,,,,,,,,,,,,,,,100249,,,Civic,,,,,3,3
COMMUNITY UNITED TO PROTECT THEODORE ROOSEVELT PARK,,,,,,,,,,,,,,,,,,,,,811340091,,,Civic,,,,,1,1
FLUSHING MEADOWS-CORONA PARK CONSERVANCY,,,,Flushing Meadows Corona Park at the boat house west side path around Meadow Lake.,Recreation and sports (including birding and fishing),Yes,"The primary purposes of the FMCP Concservancy are: 1- to advance the restoration, maintenance, and safety of the park and 2- to foster public awareness of an support for the park.  To preserve, maintain, and restore the natural, historical, and cultural",,Flushing,jeanfmcpc@gmail.com,Flushing Meadows-Corona Park Conservancy,718-544-7436,NY,P.O. Box 750303,,1,501(c)(3) (or has applied),http://fmcpc.org,11375,60-79%,1179,,,Civic,Park,PARTICIPATE/PARTNER/SUPPORT,1,2002,0,0
LITTLE KIDS ROCK,,,,,,,,,,,,,,,,,,,,,20484,,,Civic,,,,,1,1
GARDEN CLUB OF WOODBRIDGE,,,,,,,,,,,,,,,,,,,,,20356,,,Civic,,,,,1,1
WOLFE'S POND POOCHES,,,,,,,,,,,,,,,,,,,,,21034,,,Civic,,,,,1,1
SAINT HELEN ROMAN CATHOLIC CHURCH,,,,Howard Beach Spring Creek Park ( NPS),Faith-based activities,,Catholic Church - Spiritual School of Religion - Educational facilities for Civic Associations used as meeting space,,Howard Beach,sthelenbny@aol.com,Saint Helen Roman Catholic Church,718-738-1616,NY,157-10 83rd st,facebook: St. Helen Catholic Church,1,501(c)(3) (or has applied),http://Sthelen.org,11414,1-19%,31017,,,Civic,Salt Marsh,,2,,0,0
MIDTOWN COMMUNITY COURT,,,,,,,,,,,,,,,,,,,,,4330,,,Civic,,,,,1,1
SEWARD PARK CONSERVANCY,,,,,,,,,,,,,,,,,,,,,20851,,,Civic,,,,,1,1
OSBORNE ASSOC,,,,,,,,,,,,,,,,,,,,,8158,,,Civic,,,,,3,3
RIVERDALE PRESBYTERIAN CHURCH,,,,,,,,,,,,,,,,,,,,,20817,,,Civic,,,,,1,1
150TH-155TH ST EDGECOMBE AVE BLOCK ASSN,,,,On Edgecombe Ave. from 155 St. to 150 St.,Education,Yes,,,,edgecombe1505@gmail.com,150-155 Edgecombe Ave. Block Association,,,,,3,Group without 501(c)(3) or 501(c)(4) status,,,,2137,,,Civic,Park,CONSERVE,1,,1,1
FRIENDS OF THE WHITE PARK ALLIANCE,,,,,,,,,,,,,,,,,,,,,20346,,,Civic,,,,,1,1
LAWRENCE BROOK WATERSHED PROTECTION,,,,,,,,,,,,,,,,,,,,,223612823,,,Civic,,,,,1,1
URBAN RESOURCES INITIATIVE,,,,"Arch st
Beaver Ponds Park
Beaver Ponds Park Urban Oasis
Believe in Me
Blockwatch 303
Bradley Street Tree Planters
Bradley Wooster - WBL
Castle Street/Monroe Street
Cedar Hill Neighborhood
Chatham Square Neighborhood Ass.
Cherry Ann
Daisy Street
Dover Bea",,Yes,"Foster community based land stewardship, promote environmental education, advance the practice of urban forestry + provide Yale students with clinical learning opportunities.",,New Haven,uri@yale.edu,Urban Resource + Initiative,203-432-618,CT,195 Prospect St.,,1,501(c)(3) (or has applied),http://uri.yale.edu,6511,80-100%,61343983,,,Civic,Street tree,MANAGE,1,1989,0,0
BOYS CLUB OF NY,,,,,,,,,,,,,,,,,,,,,20116,,,Civic,,,,,1,1
FRIENDS OF RUPPERT PARK,,,,,,,,,,,,,,,,,,,,,100762,,,Civic,,,,,1,1
GATEWAY STRIPER CLUB,,,,,,,,,,,,,,,,,,,,,20358,,,Civic,,,,,1,1
CONSERVANCY NORTH,,,,,,,,,,,,,,,,,,,,,100510,,,Civic,,,,,1,1
PS X721 STEPHEN MCSWEENEY SCHOOL,,,,"Westchester Square to Waters Place along Westchester Ave.
P 721X school yard
Pelham Bay Little League",Education,Yes,"The program at P.721X is designed to provide academic opportunities for secondary aged students with disabilities to gain the academic, vocational, and secondary skills needed to succeed as an adult within the community. Ongoing partnerships between fami",,Bronx,jkottkamp@schools.nyc.gov,P 721X,718-597-6404,NY,2697 Westchester Ave,,4,School-affiliated group,,1046,1-19%,106220,,,Civic,School yard / Outdoor classroom,MANAGE,1,,0,0
ACTION CENTER FOR EDUCATION AND COMMUNITY DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,5184,,,Civic,,,,,1,1
EARTH DAY INITIATIVE,,,,"Union Square West
rooftop farm (Hell's Kitchen Farm Project), Rauschenbusch Metro Ministries, 410 W 40th St.",Community improvement and capacity building,Yes,"Since 1970, Earth Day has been a catalyst for ongoing education, action, and change.  Our mission is to carry the enthusiasm and spirit of Earth Day into the 21st Century to meet today's environmental challenges.

Earth Day Initiative is a 501(c)(3) orga",,New York,info@earthdayny.org,Earth Day Initiative,646-838-4214,NY,154 Grand St. #4S11,@EarthDayNewYork,1,501(c)(3) (or has applied),http://earthdayinitiative.org,10013,80-100%,1137,,,Civic,Urban Farm,EDUCATE,1,1990,1,1
NYS OFFICE OF ASSEMBLY- MICHELE TITUS,,,,,,,,,,,,,,,,,,,,,20703,,,Government,,,,,1,1
AUDUBON NY,,,,,,,,,,,,,,,,,,,,,1033,,,Civic,,,,,2,2
TOWN OF KENT CT,,,,,,,,,,,,,,,,,,,,,20931,,,Government,,,,,1,1
GREATER NEW YORK COUNCILS BOY SCOUTS OF AMERICA- CUB SCOUT PACK 255,,,,"Cub Scout Pack has performed educational efforts and conservation projects and environmental monitoring efforts through-out all of eastern Queens from the Long Island Sound south to Bellerose,  and from Flushing Meadows Corona Park to the Nassau County l",Youth,Yes,The Boy Scouts of America were founded as a service based organization to help develop good character for young boys and assist them in becoming better young men and members of our society.,,Queens Village,cubpack255@hotmail.com,Cub Scout Pack 255 / Greater New York Councils Boy Scouts of America,,NY,9409 Vanderveer Street,,1,501(c)(3) (or has applied),,11428,20-39%,1124,,,Civic,Park,EDUCATE,1,1945,0,0
FUTURE STAR PRODUCTIONS,,,,,,,,,,,,,,,,,,,,,20354,,,Civic,,,,,1,1
MURRAY HILL NEIGHBORHOOD ASSOC,,,,Murray Hill Neighborhood - 34th to 40th Street. Madison Ave to East River. Manhattan.,Community improvement and capacity building,Yes,We strive to keep Murray Hill a safe and pleasant neighborhood to live and work.,,Manhattan,info@murrayhillnyc.org,Murray Hill Neighborhood Association,,NY,,,3,Group without 501(c)(3) or 501(c)(4) status,http://murrayhillnyc.org,10016,20-39%,1333,,,Civic,Street tree,MANAGE,1,1985,1,1
ROOSEVELT ISLAND OPERATING,,,,,,,,,,,,,,,,,,,,,8810,,,Civic,,,,,2,2
FRIENDS OF RYE NATURE CENTER,,,,"47-Acres of Forest in Rye, NY, located between Boston Post Road on the East, Theodore Fresno Blvd on the West, Central Ave on North, and North St. to the South",Education,Yes,"Friends of Rye Nature Center (FRNC) is an independent, not-for-profit organization which offers programs to people of all ages and abilities.  We encourage conservation, provide environmental education, and support our community's access to nature year-r",,Rye,info@ryenaturecenter.org,Friends of Rye Nature Center,914-967-5150,NY,873 Boston Post Road,,1,501(c)(3) (or has applied),http://ryenaturecenter.org,10580,1-19%,136176032,,,Civic,Forest / Woodland,CONSERVE,1,1959,0,0
ROCKY RUN,,,,,,,,,,,,,,,,,,,,,5188,,,Civic,,,,,1,1
CARY INSTITUTE OF ECOSYSTEM STUDIES,,,,,,,,,,,,,,,,,,,,,223232968,,,Civic,,,,,1,1
TEWKSBURY LAND TRUST A NJ NOT FOR PROFIT CORP,,,,"Tewksbury Township,
northern Hunterdon
County, New Jersey",Environment,Yes,"The Tewksbury Land Trust is a public non-profit organization dedicated to:
1) preserving land to protect Tewksbury's rural charm and agricultural & natural resources
2) Providing opportunities for passive enjoyment and wildlife habitat
3) Educating the c",,Oldwick,tewksburylandtrust@gmail.com,"Tewksbury Land Trust, a NJ Not For Profit Corp.",908-439-3796,NJ,P.O. Box 490,,1,501(c)(3) (or has applied),http://tewksburylandtrust.org,8858,20-39%,223270128,,,Civic,Forest / Woodland,CONSERVE,1,1993,0,0
BK BIRD CLUB,,,,,,,,,,,,,,,,,,,,,100323,,,Civic,,,,,3,3
LOWER EAST SIDE ECOLOGY CENTER,,,,All of Manhattan.,Education,Yes,"The Ecology Center works toward a more sustainable New York City by providing community-based recycling and composting programs, developing local stewardship of green space, and increasing community awareness, involvement and youth development through en",,New York,info@lesecologycenter.org,Lower East Side Ecology Center,212-477-4022,NY,P.O. Box 20488,lesecologyctr,1,501(c)(3) (or has applied),http://lesecologycenter.org,10009,80-100%,1313,,,Civic,Park,EDUCATE,1,1987,18,18
IRONBOUND COMMUNITY CORPORATION,,,,,,,,,,,,,,,,,,,,,101005,,,Civic,,,,,1,1
FRIENDS OF ABANDONED CEMETERIES,,,,"Staten Island, Fountain, Van Street and Trinity Cemetery(s), 1562 Richmond Terrace, between Tompkins Court and Alaska St.
Lake Cemetery, Forest Avenue, between Willowbrook Road and the Bayonne Bridge Expressway
Hillside Cemetery 980 Richmond Avenue
Merre",Other,Yes,"FACSI is a 501C3 New York State not for profit,
charitable organization founded in 1981 whose mission it is to identify,
restore, protect and beautify the abandoned, neglected or otherwise
forgotten cemeteries and those interred within. We currently ma",,Staten Island,,"Friends of Abandoned Cemeteries, Inc.",,NY,,FACSI15,1,501(c)(3) (or has applied),http://americantowns.com/ny/statenisland/organization/friends-of-abandoned-cemeteries-inc-s-i,10310,40-59%,104349,,,Civic,None of the above,CONSERVE,1,1981,1,1
COMMUNITY FOOD FUNDERS,,,,,,,,,,,,,,,,,,,,,20210,,,Civic,,,,,1,1
COUNCILPERSON LAURIE CUMLO,,,,,,,,,,,,,,,,,,,,,31055,,,Government,,,,,1,1
JUNIPER PARK CIVIC ASSOC,,,,"On the north,The Long Island Expressway
On the East, Woodhaven Blvd
On the West, Fresh Pond Road
On the south, cooper Avenue",Community improvement and capacity building,Yes,"Enchanting the quality of life in the neighborhood and educating residents on issues including the environment, education, transportation and history. We publish a 96-page magazine called the Juniper Berry. We were first organized in 1938.",,Middle Village,Info@junipercivic.com,Juniper Park Civic Association,718-651-5865,NY,P.O. Box 790275,@junipercivic,2,501(c)(4) (or has applied),http://junipercivic.com,11379,20-39%,101040,,,Civic,Athletic field,TRANSFORM,1,1938,1,1
KBK9 FRIENDS OF BELLEVUE SOUTH PARK,,,,,,,,,,,,,,,,,,,,,104700,,,Civic,,,,,1,1
RAHWAY RIVER WATERSHED ASSOC,,,,,,,,,,,,,,,,,,,,,223531981,,,Civic,,,,,1,1
W 45TH ST BLOCK ASSN,,,,,,,,,,,,,,,,,,,,,5818,,,Civic,,,,,1,1
ST JOSEPH HILL ACADEMY,,,,,,,,,,,,,,,,,,,,,1497,,,School,,,,,1,1
FRIENDS OF FT TOTTEN PARKS,,,,,,,,,,,,,,,,,,,,,1192,,,Civic,,,,,1,1
NYC CITY COUNCIL- VINCENT GENTILE,,,,,,,,,,,,,,,,,,,,,20637,,,Government,,,,,1,1
NEW BRUNSWICK EC,,,,,,,,,,,,,,,,,,,,,20572,,,Civic,,,,,1,1
LITTLE RED SCHOOLHOUSE,,,,,,,,,,,,,,,,,,,,,4154,,,Civic,,,,,2,2
NJ SPORTS AND EXPOSITION AUTHORITY,,,,,,,,,,,,,,,,,,,,,20588,,,Government,,,,,1,1
CRREW COLLECTIVE,,,,,,,,,,,,,,,,,,,,,20218,,,Civic,,,,,1,1
BELLE HARBOR YACHT CLUB,,,,,,,,,,,,,,,,,,,,,102642,,,Civic,,,,,2,2
PEACEFUL VALLEY COMMUNITY GARDEN,,,,"Southeast corner lot of Madison Ave @ 117th Street, Manhattan.",Environment,Yes,"Mission Statement:

ΓÇó	Peaceful Valley's mission is to create an oasis, a small green and fertile refuge where one can find peace in nature, the community, or maybe just his or her own thoughts. 

Steering Committee Mission Statement:

ΓÇó	Provide pract",,New York,peacefulvalley117@gmail.com,Peaceful Valley Community Garden,917-763-7423,NY,1779 Madison Ave. Apt. 202,,3,Group without 501(c)(3) or 501(c)(4) status,,10035,80-100%,4896,,,Civic,Community Garden,MANAGE,1,1999,0,0
BRADLEY WOOSTER- WBL,,,,,,,,,,,,,,,,,,,,,20120,,,Civic,,,,,1,1
SILVERCUP STUDIOS,,,,,,,,,,,,,,,,,,,,,20859,,,Business,,,,,1,1
WESTINGHOUSE HS MARVINS GARDEN,,,,"105  Tech Place  between Tillary and Jay st
Garden along side of Westinghouse H S",Community improvement and capacity building,Yes,To improve and beautify school grounds,,Brooklyn,Veoia@aol.com,Westinghouse HS / Marvin's Garden,212-228-2667,NY,195 Adams St. Apt 16J,,4,School-affiliated group,,11201,80-100%,1575,,,Civic,School yard / Outdoor classroom,MANAGE,1,1984,0,0
RICHMOND HILL-SOUTH OZONE PARK LIONS/LEOS CLUB,,,,,,,,,,,,,,,,,,,,,106627,,,Civic,,,,,1,1
BREAKING GROUND,,,,"Thomas S. Boyland Street, between Hegeman and Lott Aves, Brownsville, Brooklyn",Housing and shelter,Yes,"Breaking GroundΓÇÖs mission is to strengthen individuals, families and communities by developing and sustaining exceptional supportive and affordable housing as well as programs for homeless and other vulnerable New Yorkers.",,New York,info@breakingground.org,Breaking Ground,212-389-9300,NY,"505 Eighth Avenue, 5th Floor",@brground,1,501(c)(3) (or has applied),http://breakingground.org,10018,1-19%,102766,,,Civic,Community Garden,MANAGE,1,1990,1,1
RIVER PROJECT,,,,,,,,,,,,,,,,,,,,,1448,,,Civic,,,,,3,3
URBAN GARDEN CENTER,,,,East Harlem,,Yes,,,New York,info@urbangardennyc.com,Urban Garden Center,646-872-3991,NY,1640 Park Avenue,urbangardennyc,10,"Private firm, for-profit business",http://urbangardencenter.com,10035,,102010,,,Civic,,MANAGE,1,,1,1
ELMHURST SUPPORTERS FOR PARKS,,,,,,,,,,,,,,,,,,,,,100635,,,Civic,,,,,1,1
SALT MARSH ALLIANCE,,,,,,,,,,,,,,,,,,,,,101685,,,Civic,,,,,1,1
CUNY- BARUCH-NATURAL SCIENCES- ENVIRONMENTAL SCIENCE,,,,"-Bush Terminal Park
-Governor's Island
-Jamaica Bay",Research in science and/or technology,Yes,Faculty and students in the department carry out research focused on understanding and managing natural resources in the area.  Classes and groups also contribute to ongoing restoration work in the city.,,New York,stephen.gosnell@baruch.cuny.edu,"Environmental Science, Baruch College Department of Natural Sciences",,NY,17 Lexington Avenue,,4,School-affiliated group,http://baruch.cuny.edu/wsas/academics/natural_science/EnvironmentalScience.htm,10010,20-39%,100201,,,Civic,Waterfront / Beach / Shoreline,EDUCATE,1,,0,0
LEWIS WAITE FARMS,,,,,,,,,,,,,,,,,,,,,20478,,,Civic,,,,,1,1
SOUTH JAMAICA HOUSES,,,,,,,,,,,,,,,,,,,,,20873,,,Civic,,,,,1,1
CIRCLE LINE DOWNTOWN,,,,,,,,,,,,,,,,,,,,,20179,,,Civic,,,,,1,1
RISEBORO COMMUNITY PARTNERSHIP- BUSHWICK COOKS,,,,"We currently organize various programs throughout Bushwick, within the boundaries of community board 4.  Our program operates three Farmers Markets located at 434 Troutman Street (Between St. Nicholas Ave & Wyckoff Ave), Maria Hernandez Park (Knickerbock",Food,Yes,"For forty years, RiseBoro Community Partnership has advocated for and served the north Brooklyn community. RiseBoro services range from helping families fight evictions and building a theater program for local youth to running senior centers and deliveri",,Brooklyn,bushwickcooks@gmail.co,Bushwick Cooks,718-416-4568,NY,555 Bushwick Avenue,,1,501(c)(3) (or has applied),http://riseboro.org/rb/health/bushwick_cooks/,11206,40-59%,20815,,,Civic,"Food system (e.g. grocery stores, CSA, compost site)",ADVOCATE,1,2015,0,0
FABSCRAP,,,,"We service fashion, interior design, and entertainment companies within NYC's five borough.  Our warehouse is located in Jamaica, Queens.  We have strong partnerships with fashion schools: FIT, Parsons, Pratt, and LIM.",Other,Yes,FABSCRAP provides convenient fabric recycling service to businesses in NYC and creates opportunities for reuse.,,New York,info@fabscrap.org,FABSCRAP,347-225-7424,NY,P.O. Box 7559,@fab-scrap,1,501(c)(3) (or has applied),http://fabscrap.org,1015,,813795981,,,Civic,Waste system (e.g. e-waste drop off location),TRANSFORM,1,2016,0,0
EAST 86TH ST MERCHANTS AND RESIDENTS ASSOC,,,,,,,,,,,,,,,,,,,,,1146,,,Civic,,,,,1,1
MARY MITCHELL FAMILY AND YOUTH CENTER,,,,,,,,,,,,,,,,,,,,,1526,,,Civic,,,,,3,3
NJ CONSERVATION FOUNDATION,,,,,,,,,,,,,,,,,,,,,2043,,,Civic,,,,,4,4
SWIM STRONG FOUNDATION,,,,"--Bushwick High School, 400 Irving Ave,╬ô├╢┬╝Γö£├¡Brooklyn,╬ô├╢┬╝Γö£├¡NY╬ô├╢┬╝Γö£├¡11237   
--Flushing Meadow Aquatic Center, 131-04 Meridian Lane, Flushing NY 11368   
--JAMAICA HIGH SCHOOL, 168-01 Gothic Drive, Jamaica, NY 11432  
--Brooklyn Sports Clu",Recreation and sports (including birding and fishing),Yes,Swim Strong FoundationΓÇÖs mission is to save and change lives through water safety education and teaching swimming skills. We provide affordable swim programs to STOP the drowning. We guide students from age three through adult towards a healthy lifesty,,East Elmhurst,shawn.slevin@swimstrongfoundation.org,"Swim Strong Foundation, Inc.",646-269-7897,NY,P.O. Box 701165,twitter.com/SwimStrongNY,1,501(c)(3) (or has applied),http://swimstrongfoundation.org/,11370,0,107278,,,Civic,Athletic field,None of the above,1,2007,1,1
MCINTOSH NEIGHBORHOOD ASSOC GARDEN,,,,"Garden is located btween 25-16 McIntosh St. and 25-19 100th St., E. Elmhurst, Queens [Block #1650, Lot #2]",Environment,Yes,"Beautify a n'hood community garden by growing veggies, fruit, perennial flowers and blooming trees; compost food scraps.",,E. Elmhurst,,McIntosh Neighborhood Association Garden,718-639-4934,NY,25-1 McIntosh St.,,3,Group without 501(c)(3) or 501(c)(4) status,http://bqlt.org,11369,80-100%,4293,,,Civic,Community Garden,MANAGE,1,1978,0,0
HOWARD GARDEN,,,,On Howard Ave. Between Blake and Dumont Aves.,"Arts, culture, creative practices",,"Our goal is to maintain the appearance of the space we have for the community and to try and improve it. We also hope to better lives of our youth by teaching them art, fashion, gardening, and some music.",,Brooklyn,,Howard Garden,718-345-7789,NY,743 Howard Ave,,1,501(c)(3) (or has applied),,11212,20-39%,31022,,,Civic,,PARTICIPATE/PARTNER/SUPPORT,2,1986,0,0
STUYVESANT SQ COMMUNITY ALLIANCE,,,,,,,,,,,,,,,,,,,,,20894,,,Civic,,,,,1,1
FEDERATED GARDEN CLUBS OF NYS- DISTRICT 1,,,,,,,,,,,,,,,,,,,,,30537604,,,Civic,,,,,0,0
RENAISSANCE CHARTER HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
LOVING THE BX,,,,,,,,,,,,,,,,,,,,,104906,,,Civic,,,,,2,2
MILLTOWN EC,,,,,,,,,,,,,,,,,,,,,20532,,,Civic,,,,,1,1
MANHATTAN COMPREHENSIVE NIGHT AND DAY HS,,,,,,,,,,,,,,,,,,,,,20509,,,School,,,,,1,1
ROCKING THE BOAT,,,,"Tidal portion of the Bronx River, mostly the last 1.5 miles",Youth,Yes,"Rocking the Boat empowers youth from the South Bronx to develop the self-confidence to set ambitous goals and gain the skills necessary to achieve them. Students work together to build wooden boats, learn to row and sail, and restore local urban waterway",,Bronx,info@rockingtheboat.org,Rocking the Boat,718-466-5799,NY,812 Edgewater R,rtbbronx,1,501(c)(3) (or has applied),http://rockingtheboat.org,10471,20-39%,1458,,,Civic,Stream / River / Canal,EDUCATE,1,2001,4,4
RAINBOW PARK,,,,,,,,,,,,,,,,,,,,,20796,,,Civic,,,,,1,1
LOWER STATE,,,,,,,,,,,,,,,,,,,,,20495,,,Civic,,,,,1,1
US DOI,,,,,,,,,,,,,,,,,,,,,7708,,,Government,,,,,1,1
CENTER FOR NYC NEIGHBORHOODS,,,,,,,,,,,,,,,,,,,,,100405,,,Civic,,,,,1,1
CARLTON AVE BLOCK,,,,,,,,,,,,,,,,,,,,,20148,,,Civic,,,,,1,1
UNION STREET BLOCK AND CIVIC ASSOC,,,,on Union Street between Nostrand Ave and Bedford Ave,Environment,Yes,,,Brooklyn,,Union Street Block and Civic Association,,NY,1223 Union Street,,3,Group without 501(c)(3) or 501(c)(4) status,,11225,60-79%,107701,,,Civic,Street tree,ADVOCATE,1,2012,0,0
LAUNDROMAT PROJECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
MARVELWOOD SCHOOL,,,,,,,,,,,,,,,,,,,,,20515,,,School,,,,,1,1
596 ACRES,,,,All five boroughs of NYC.,Community improvement and capacity building,Yes,596 Acres champions resident stewardship of land to build more just and equitable cities.,,Brooklyn,organizers@596acres.org,596 Acres,718-316-6092,NY,540 President Street 2E,@596Acres,1,501(c)(3) (or has applied),http://596acres.org,11215,80-100%,100086,,,Civic,Vacant land / Vacant lot,ADVOCATE,1,2011,6,6
HARWINTON LAND TRUST,,,,"Harwinton, CT",Environment,Yes,To acquire and conserve significant open space in Harwinton to benefit the environment and the public,,Harwinton,N/A,Harwinton Land Trust,N/A,CT,P.O. Box 113,N/A,1,501(c)(3) (or has applied),http://harwintonlandtrust.org,6791,80-100%,237298286,,,Civic,,CONSERVE,1,1973,0,0
FRIENDS OF COLUMBUS PARK,,,,,,,,,,,,,,,,,,,,,103264,,,Civic,,,,,1,1
COMMITTEE FOR THE SLAVE BURIAL GROUND,,,,,,,,,,,,,,,,,,,,,20204,,,Civic,,,,,1,1
HOBOKEN QUALITY OF LIFE COALITION,,,,,,,,,,,,,,,,,,,,,20410,,,Civic,,,,,1,1
NYC CITY COUNCIL- RAFAEL ESPINAL,,,,,,,,,,,,,,,,,,,,,20633,,,Government,,,,,1,1
PARKS4US,,,,"Prospect Park, the neighborhood of Prospect Lefferts Gardens",Community improvement and capacity building,Yes,Parks4Us represents the Prospect Lefferts Gardens community by advocating for Prospect Park and other nearby green spaces and community gardens.,,Brooklyn,parks4us.nyc@gmail.com,Parks4Us,718-306-9673,NY,590 Flatbush Ave #15G,,3,Group without 501(c)(3) or 501(c)(4) status,,11225,20-39%,106273,,,Civic,Park,ADVOCATE,1,2014,0,0
FRIENDS OF STRYKER PARK,,,,"In Manhattan, on West 97th Street between Columbus and Amsterdam Avenues",Community improvement and capacity building,Yes,Friends of Stryker Park is committed to creating more green space and a public plaza on West 97th Street between Columbus and Amsterdam Avenues in NYC.,,New York,strykerpark@icloud.com,"Friends of Stryker Park, Inc.",,NY,West 97th Street,@strykerpark,3,Group without 501(c)(3) or 501(c)(4) status,http://strykerpark.org,10025,80-100%,103973,,,Civic,"Public Right of Way (Sidewalk, street ends, traffic island, public plaza)",MANAGE,1,,1,1
VIP,,,,,,,,,,,,,,,,,,,,,7274,,,Civic,,,,,1,1
FRIENDS OF GULICK PARK,,,,"Lower East Side - Luther Gulick Park, Delancey to Broome  Streets and Willett to Columbia Streets",Community improvement and capacity building,Yes,To create a beautiful green space for the entire community to enjoy.,,New York,,Friends of Gulick Park,,NY,"500C Grand Street, C2A",,3,Group without 501(c)(3) or 501(c)(4) status,http://gulickpark.org,10002,40-59%,20318,,,Civic,Park,MANAGE,1,2010,0,0
CLEAN WATER ACTION,,,,,,,,,,,,,,,,,,,,,20197,,,Civic,,,,,1,1
BERGEN COUNTY HISTORICAL SOCIETY,,,,,,,,,,,,,,,,,,,,,20079,,,Civic,,,,,1,1
HALF-NELSON PARK ASSN,,,,,,,,,,,,,,,,,,,,,3702,,,Civic,,,,,1,1
SILVER LAKE PARK CONSERVANCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
PS BK 58,,,,,,,,,,,,,,,,,,,,,105880,,,School,,,,,1,1
M PRECINCT 17,,,,,,,,,,,,,,,,,,,,,20499,,,Civic,,,,,1,1
CITYSCIENCE,,,,"11201
11239
11216
11271
10454
10473
10458",Education,Yes,"CityScience is committed to raising the quality of science education and supporting environmental stewardship. By using the natural and built environments of cities as laboratories for active learning, we transform teaching to make science relevant and e",,Brooklyn,info@cityscience.org,CityScience,347-875-6000,NY,"68 Jay St, Suite 403",@cityscienceorg,1,501(c)(3) (or has applied),http://cityscience.org,11201,20-39%,103193,,,Civic,Street tree,EDUCATE,1,2010,1,1
LUIGIS GARDEN,,,,"227 West 115th Street;
Adam Clayton Powell Jr. Blvd and West 116th street",Environment,Yes,Community garden based in Harlem,,Brooklyn,227garden@gmail.com,Luigi's Garden,,NY,350 Sterling Street Apt. 5O,,3,Group without 501(c)(3) or 501(c)(4) status,http://facebook.com/LuigisGarden/,11225,80-100%,104923,,,Civic,Community Garden,MANAGE,1,2012,0,0
BK CHILDRENS MUSEUM,,,,,,,,,,,,,,,,,,,,,1072,,,Civic,,,,,2,2
VINEGAR HILL,,,,,,,,,,,,,,,,,,,,,102033,,,Civic,,,,,1,1
PS BK 84,,,,,,,,,,,,,,,,,,,,,4823,,,School,,,,,1,1
CHILDRENS MAGICAL GARDEN,,,,,,,,,,,,,,,,,,,,,100427,,,Civic,,,,,1,1
YORK COLLEGE,,,,,,,,,,,,,,,,,,,,,5911,,,School,,,,,1,1
CHELSEA SCULPTURE PARK,,,,,,,,,,,,,,,,,,,,,103088,,,Civic,,,,,1,1
